,director,actor2,genres,actor1,title,actor3,comb
135,Christopher McQuarrie,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - rogue nation,Sean Harris,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
136,Joe Johnston,Simon Merrells,Drama Fantasy Horror Thriller,Anthony Hopkins,the wolfman,Art Malik,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
137,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarzan,Casper Crump,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
138,Steve Hickner,Oprah Winfrey,Adventure Animation Comedy Family,Matthew Broderick,bee movie,Rip Torn,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
139,Jennifer Yuh Nelson,Gary Oldman,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda 2,Mike Bell,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
140,M. Night Shyamalan,Noah Ringer,Action Adventure Family Fantasy,Seychelle Gabriel,the last airbender,Aasif Mandvi,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
141,J.J. Abrams,Tom Cruise,Action Adventure Thriller,Philip Seymour Hoffman,mission: impossible iii,Eddie Marsan,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
142,Roland Emmerich,Jake Weber,Action Drama Thriller,Channing Tatum,white house down,Matt Craven,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
143,Simon Wells,Dan Fogler,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,mars needs moms,Tom Everett Scott,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Sci-Fi
144,David Bowers,Kate Winslet,Adventure Animation Comedy Family,Hugh Jackman,flushed away,David Suchet,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
145,Joe Wright,Cara Delevingne,Adventure Family Fantasy,Hugh Jackman,pan,Nonso Anozie,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
146,Rob Minkoff,Zach Callison,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,mr. peabody & sherman,Karan Brar,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-Fi
147,Wolfgang Petersen,Orlando Bloom,Adventure,Brad Pitt,troy,Julian Glover,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
148,Eric Darnell,Martin Short,Adventure Animation Comedy Family,Jada Pinkett Smith,madagascar 3: europe's most wanted,Cedric the Entertainer,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
149,Lee Tamahori,Colin Salmon,Action Adventure Thriller,Toby Stephens,die another day,Rick Yune,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
150,Paul Feig,Kate McKinnon,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,ghostbusters,Zach Woods,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-Fi
151,Michael Bay,Steve Buscemi,Action Adventure Sci-Fi Thriller,Bruce Willis,armageddon,Will Patton,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
152,Barry Sonnenfeld,Rosario Dawson,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,men in black ii,Rip Torn,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Sci-Fi
153,Robert Zemeckis,Anthony Hopkins,Action Adventure Animation Fantasy,Robin Wright,beowulf,Sebastian Roché,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation Fantasy
154,Alessandro Carloni,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,J.K. Simmons,kung fu panda 3,Wayne Knight,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy Family
155,Brad Bird,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - ghost protocol,Michael Nyqvist,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
156,Peter Ramsey,Kamil McFadden,Adventure Animation Family Fantasy,Hugh Jackman,rise of the guardians,Khamani Griffin,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family Fantasy
157,Dean Parisot,Richard Burgi,Comedy Crime,John Michael Higgins,fun with dick and jane,David Herman,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy Crime
158,Edward Zwick,Tony Goldwyn,Action Drama History War,Tom Cruise,the last samurai,Chad Lindberg,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
159,Ridley Scott,María Valverde,Action Adventure Drama,Christian Bale,exodus: gods and kings,Ben Mendelsohn,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
160,J.J. Abrams,Leonard Nimoy,Action Adventure Sci-Fi,Chris Hemsworth,star trek,Bruce Greenwood,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Sci-Fi
161,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
162,Dean DeBlois,Djimon Hounsou,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,how to train your dragon 2,America Ferrera,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois Action Adventure Animation Comedy Family Fantasy
163,Alex Proyas,Elodie Yung,Action Adventure Fantasy,Gerard Butler,gods of egypt,Bryan Brown,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure Fantasy
164,Rob Cohen,Joe Morton,Action Adventure Sci-Fi Thriller,Sam Shepard,stealth,Richard Roxburgh,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi Thriller
165,Zack Snyder,Billy Crudup,Action Drama Mystery Sci-Fi,Matt Frewer,watchmen,Stephen McHattie,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Sci-Fi
166,Richard Donner,Rene Russo,Action Crime Thriller,Jet Li,lethal weapon 4,Darlene Love,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
167,Ang Lee,Regi Davis,Action Sci-Fi,Kevin Rankin,hulk,Celia Weston,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Sci-Fi
168,Jon M. Chu,Dwayne Johnson,Action Adventure Sci-Fi Thriller,Channing Tatum,g.i. joe: retaliation,Elodie Yung,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi Thriller
169,Breck Eisner,Rainn Wilson,Action Adventure Comedy Thriller,Matthew McConaughey,sahara,Delroy Lindo,Matthew McConaughey Rainn Wilson Delroy Lindo Breck Eisner Action Adventure Comedy Thriller
170,Hironobu Sakaguchi,Ming-Na Wen,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,final fantasy: the spirits within,Jean Simmons,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Sci-Fi
171,Joe Johnston,Dominic Cooper,Action Adventure Sci-Fi,Chris Evans,captain america: the first avenger,Hayley Atwell,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Sci-Fi
172,Michael Apted,Maria Grazia Cucinotta,Action Adventure Thriller,Colin Salmon,the world is not enough,Desmond Llewelyn,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted Action Adventure Thriller
173,Peter Weir,Lee Ingleby,Action Adventure Drama History War,James D'Arcy,master and commander: the far side of the world,David Threlfall,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History War
174,Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part 2,Taylor Lautner,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
175,George Miller,Brad Pitt,Animation Comedy Family Musical,Robin Williams,happy feet 2,Common,Robin Williams Brad Pitt Common George Miller Animation Comedy Family Musical
176,Louis Leterrier,Peter Mensah,Action Adventure Sci-Fi,Ty Burrell,the incredible hulk,William Hurt,Ty Burrell Peter Mensah William Hurt Louis Leterrier Action Adventure Sci-Fi
177,,Philip Michael Thomas,Action Crime Drama Mystery Thriller,Don Johnson,miami vice            ,John Diehl,Don Johnson Philip Michael Thomas John Diehl  Action Crime Drama Mystery Thriller
178,Steven Spielberg,Penelope Wilton,Adventure Family Fantasy,Mark Rylance,the bfg,Rafe Spall,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg Adventure Family Fantasy
179,Alejandro G. Iñárritu,Tom Hardy,Adventure Drama Thriller Western,Leonardo DiCaprio,the revenant,Lukas Haas,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. Iñárritu Adventure Drama Thriller Western
180,David Soren,Snoop Dogg,Adventure Animation Comedy Family Sport,Ryan Reynolds,turbo,Ben Schwartz,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren Adventure Animation Comedy Family Sport
181,Gore Verbinski,Ray Winstone,Adventure Animation Comedy Family Western,Johnny Depp,rango,Stephen Root,Johnny Depp Ray Winstone Stephen Root Gore Verbinski Adventure Animation Comedy Family Western
182,Eric Darnell,Annet Mahendru,Adventure Animation Comedy Family,Benedict Cumberbatch,penguins of madagascar,Andy Richter,Benedict Cumberbatch Annet Mahendru Andy Richter Eric Darnell Adventure Animation Comedy Family
183,Paul Greengrass,Edgar Ramírez,Action Mystery Thriller,Matt Damon,the bourne ultimatum,Albert Finney,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass Action Mystery Thriller
184,Mark Osborne,Wayne Knight,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda,Dan Fogler,Angelina Jolie Pitt Wayne Knight Dan Fogler Mark Osborne Action Adventure Animation Comedy Family
185,Peyton Reed,Hayley Atwell,Action Adventure Comedy Sci-Fi,Judy Greer,ant-man,T.I.,Judy Greer Hayley Atwell T.I. Peyton Reed Action Adventure Comedy Sci-Fi
186,Francis Lawrence,Josh Hutcherson,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: catching fire,Sandra Ellis Lafferty,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence Adventure Sci-Fi Thriller
187,Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part 2,Taylor Lautner,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
188,Tim Johnson,Matt Jones,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,home,April Winchell,Jim Parsons Matt Jones April Winchell Tim Johnson Adventure Animation Comedy Family Fantasy Sci-Fi
189,Steven Spielberg,Lisa Ann Walter,Adventure Sci-Fi Thriller,Tom Cruise,war of the worlds,Rick Gonzalez,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Sci-Fi Thriller
190,Michael Bay,Henry Rollins,Action Comedy Crime Thriller,Will Smith,bad boys ii,Jordi Mollà,Will Smith Henry Rollins Jordi Mollà Michael Bay Action Comedy Crime Thriller
191,Chris Miller,Constance Marie,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,puss in boots,Amy Sedaris,Salma Hayek Constance Marie Amy Sedaris Chris Miller Action Adventure Animation Comedy Family Fantasy
192,Phillip Noyce,Andre Braugher,Action Crime Mystery Thriller,Angelina Jolie Pitt,salt,August Diehl,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery Thriller
193,Darren Aronofsky,Emma Watson,Action Adventure Drama,Anthony Hopkins,noah,Logan Lerman,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky Action Adventure Drama
194,Steven Spielberg,Mackenzie Crook,Action Adventure Family Mystery,Toby Jones,the adventures of tintin,Tony Curran,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg Action Adventure Family Mystery
195,Alfonso Cuarón,Gary Oldman,Adventure Family Fantasy Mystery,Daniel Radcliffe,harry potter and the prisoner of azkaban,Rupert Grint,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón Adventure Family Fantasy Mystery
196,Baz Luhrmann,Bryan Brown,Adventure Drama Romance War,Essie Davis,australia,Eddie Baroo,Essie Davis Bryan Brown Eddie Baroo Baz Luhrmann Adventure Drama Romance War
197,M. Night Shyamalan,Zoë Kravitz,Action Adventure Sci-Fi,Will Smith,after earth,Glenn Morshower,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan Action Adventure Sci-Fi
198,Eric Leighton,D.B. Sweeney,Adventure Animation Family Thriller,Alfre Woodard,dinosaur,Della Reese,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family Thriller
199,Matt Birch,Dave Legeno,Action Fantasy,Rupert Grint,harry potter and the deathly hallows: part ii,Ralph Ineson,Rupert Grint Dave Legeno Ralph Ineson Matt Birch Action Fantasy
200,Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: secret of the tomb,Steve Coogan,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
201,Tom McGrath,Brad Pitt,Action Animation Comedy Family Sci-Fi,J.K. Simmons,megamind,Will Ferrell,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath Action Animation Comedy Family Sci-Fi
202,Chris Columbus,Fiona Shaw,Adventure Family Fantasy,Daniel Radcliffe,harry potter and the sorcerer's stone,Verne Troyer,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus Adventure Family Fantasy
203,Robert Schwentke,Jeff Bridges,Action Comedy Fantasy,Ryan Reynolds,r.i.p.d.,Stephanie Szostak,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke Action Comedy Fantasy
205,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: the curse of the black pearl,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
206,Matt Birch,Toby Jones,Fantasy,Rupert Grint,harry potter and the deathly hallows: part i,Alfred Enoch,Rupert Grint Toby Jones Alfred Enoch Matt Birch Fantasy
207,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: mockingjay - part 1,Josh Hutcherson,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi Thriller
208,Ron Howard,Seth Gabel,Mystery Thriller,Tom Hanks,the da vinci code,Jürgen Prochnow,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard Mystery Thriller
209,Carlos Saldanha,Rachel Crow,Adventure Animation Comedy Family Musical,Miguel Ferrer,rio 2,Jeffrey Garcia,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha Adventure Animation Comedy Family Musical
210,Bryan Singer,Bruce Davison,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men 2,Aaron Stanford,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
211,Justin Lin,Vin Diesel,Action Crime Thriller,Paul Walker,fast five,Dwayne Johnson,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime Thriller
212,Guy Ritchie,Eddie Marsan,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,sherlock holmes: a game of shadows,Paul Anderson,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery Thriller
213,Louis Leterrier,Jason Flemyng,Action Adventure Fantasy,Liam Neeson,clash of the titans,Alexa Davalos,Liam Neeson Jason Flemyng Alexa Davalos Louis Leterrier Action Adventure Fantasy
214,Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,total recall,Marshall Bell,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action Sci-Fi
215,John McTiernan,Vladimir Kulich,Action Adventure History,Tony Curran,the 13th warrior,Clive Russell,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure History
216,Tony Gilroy,Scott Glenn,Action Adventure Thriller,Jeremy Renner,the bourne legacy,Stacy Keach,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action Adventure Thriller
217,Joel Schumacher,Vivica A. Fox,Action,Michael Gough,batman & robin,John Glover,Michael Gough Vivica A. Fox John Glover Joel Schumacher Action
218,Ron Howard,T.J. Thyne,Comedy Family Fantasy,Clint Howard,how the grinch stole christmas,Molly Shannon,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy Family Fantasy
219,Roland Emmerich,Dennis Quaid,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,the day after tomorrow,Sela Ward,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Sci-Fi Thriller
220,John Woo,Dougray Scott,Action Adventure Thriller,Tom Cruise,mission: impossible ii,Richard Roxburgh,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure Thriller
221,Wolfgang Petersen,Mary Elizabeth Mastrantonio,Action Adventure Drama Thriller,Karen Allen,the perfect storm,Bob Gunton,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama Thriller
222,Tim Story,Ioan Gruffudd,Action Adventure Sci-Fi Thriller,Chris Evans,fantastic 4: rise of the silver surfer,Andre Braugher,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Sci-Fi Thriller
223,Ang Lee,Rafe Spall,Adventure Drama Fantasy,Suraj Sharma,life of pi,Tabu,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure Drama Fantasy
224,Mark Steven Johnson,Matt Long,Action Fantasy Thriller,Nicolas Cage,ghost rider,Peter Fonda,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy Thriller
225,Paul Greengrass,Riz Ahmed,Action Thriller,Matt Damon,jason bourne,Ato Essandoh,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action Thriller
226,McG,Bernie Mac,Action Adventure Comedy Crime,Demi Moore,charlie's angels: full throttle,Justin Theroux,Demi Moore Bernie Mac Justin Theroux McG Action Adventure Comedy Crime
227,Ridley Scott,Charlize Theron,Adventure Mystery Sci-Fi,Michael Fassbender,prometheus,Sean Harris,Michael Fassbender Charlize Theron Sean Harris Ridley Scott Adventure Mystery Sci-Fi
228,Rob Minkoff,Brad Garrett,Adventure Animation Comedy Family Fantasy,Nathan Lane,stuart little 2,Melanie Griffith,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff Adventure Animation Comedy Family Fantasy
229,Neill Blomkamp,Sharlto Copley,Action Drama Sci-Fi Thriller,Matt Damon,elysium,Alice Braga,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action Drama Sci-Fi Thriller
230,David Twohy,Alexa Davalos,Action Adventure Sci-Fi Thriller,Vin Diesel,the chronicles of riddick,Christina Cox,Vin Diesel Alexa Davalos Christina Cox David Twohy Action Adventure Sci-Fi Thriller
231,José Padilha,Abbie Cornish,Action Crime Sci-Fi Thriller,Gary Oldman,robocop,Jennifer Ehle,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi Thriller
232,Lana Wachowski,Kick Gurry,Action Family Sport,Scott Porter,speed racer,Nicholas Elia,Scott Porter Kick Gurry Nicholas Elia Lana Wachowski Action Family Sport
233,James L. Brooks,Domenick Lombardozzi,Comedy Drama Romance,Shelley Conn,how do you know,Teyonah Parris,Shelley Conn Domenick Lombardozzi Teyonah Parris James L. Brooks Comedy Drama Romance
234,James Mangold,Marc Blucas,Action Comedy Romance,Tom Cruise,knight and day,Jordi Mollà,Tom Cruise Marc Blucas Jordi Mollà James Mangold Action Comedy Romance
235,Joseph Kosinski,Tom Cruise,Action Adventure Mystery Sci-Fi,Morgan Freeman,oblivion,Zoë Bell,Morgan Freeman Tom Cruise Zoë Bell Joseph Kosinski Action Adventure Mystery Sci-Fi
